epoch,lr,train_loss,train_acc,train_samples,train_skipped_none_batches,val_loss,val_acc,val_samples_used,val_skipped_none_batches,val_skipped_bad_label_samples,best_val_acc
1,1.0e-02,4.5517,0.0624,168912,0,4.5610,0.0990,24777,0,0,0.0990
2,1.0e-02,3.4890,0.2192,168912,0,3.8255,0.1919,24777,0,0,0.1919
3,9.9e-03,2.8781,0.3282,168912,0,3.6014,0.2444,24777,0,0,0.2444
4,9.8e-03,2.5347,0.3928,168912,0,3.1954,0.2903,24777,0,0,0.2903
5,9.6e-03,2.3216,0.4346,168912,0,3.0501,0.3111,24777,0,0,0.3111
6,9.3e-03,2.1684,0.4642,168912,0,3.0507,0.3211,24777,0,0,0.3211
7,9.1e-03,2.0542,0.4873,168912,0,2.9090,0.3388,24777,0,0,0.3388
8,8.7e-03,1.9606,0.5089,168912,0,2.8069,0.3574,24777,0,0,0.3574
9,8.4e-03,1.8746,0.5242,168912,0,2.8685,0.3544,24777,0,0,0.3574
10,8.0e-03,1.7989,0.5402,168912,0,2.7193,0.3879,24777,0,0,0.3879
11,7.5e-03,1.7267,0.5547,168912,0,2.7217,0.3747,24777,0,0,0.3879
12,7.1e-03,1.6583,0.5702,168912,0,2.7550,0.3673,24777,0,0,0.3879
13,6.6e-03,1.5928,0.5845,168912,0,2.6012,0.3948,24777,0,0,0.3948
14,6.1e-03,1.5252,0.6007,168912,0,2.6461,0.3956,24777,0,0,0.3956
15,5.6e-03,1.4580,0.6146,168912,0,2.6158,0.4109,24777,0,0,0.4109
16,5.1e-03,1.3810,0.6308,168912,0,2.6013,0.4067,24777,0,0,0.4109
17,4.5e-03,1.3077,0.6488,168912,0,2.6286,0.4193,24777,0,0,0.4193
18,4.0e-03,1.2283,0.6661,168912,0,2.6026,0.4188,24777,0,0,0.4193
19,3.5e-03,1.1411,0.6876,168912,0,2.5914,0.4140,24777,0,0,0.4193
20,3.0e-03,1.0459,0.7101,168912,0,2.5471,0.4304,24777,0,0,0.4304
21,2.6e-03,0.9433,0.7345,168912,0,2.5890,0.4365,24777,0,0,0.4365
22,2.1e-03,0.8315,0.7629,168912,0,2.6290,0.4333,24777,0,0,0.4365
23,1.7e-03,0.7075,0.7963,168912,0,2.6349,0.4350,24777,0,0,0.4365
24,1.4e-03,0.5726,0.8346,168912,0,2.7278,0.4354,24777,0,0,0.4365
25,1.0e-03,0.4399,0.8733,168912,0,2.7712,0.4508,24777,0,0,0.4508
26,7.6e-04,0.3156,0.9121,168912,0,2.8350,0.4571,24777,0,0,0.4571
27,5.3e-04,0.2209,0.9423,168912,0,2.8611,0.4548,24777,0,0,0.4571
28,3.4e-04,0.1611,0.9611,168912,0,2.8729,0.4622,24777,0,0,0.4622
29,2.1e-04,0.1254,0.9723,168912,0,2.9095,0.4606,24777,0,0,0.4622
30,1.3e-04,0.1078,0.9775,168912,0,2.8490,0.4635,24777,0,0,0.4635
