epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,2.0e-02,4.9205,0.0305,5.1601,0.0167,0.0167
2,2.0e-02,4.7700,0.0477,6.3759,0.0111,0.0167
3,2.0e-02,4.5541,0.0716,5.9636,0.0127,0.0167
4,2.0e-02,4.2930,0.1168,6.3845,0.0238,0.0238
5,1.9e-02,4.0126,0.1619,8.2324,0.0167,0.0238
6,1.9e-02,3.7790,0.1989,6.7194,0.0198,0.0238
7,1.8e-02,3.5732,0.2364,7.2247,0.0270,0.0270
8,1.7e-02,3.3570,0.2679,9.2745,0.0198,0.0270
9,1.7e-02,3.1708,0.3030,8.2621,0.0285,0.0285
10,1.6e-02,3.0159,0.3241,10.0591,0.0309,0.0309
11,1.5e-02,2.8480,0.3494,8.5958,0.0238,0.0309
12,1.4e-02,2.7095,0.3841,10.9303,0.0309,0.0309
13,1.3e-02,2.5490,0.4126,11.0815,0.0309,0.0309
14,1.2e-02,2.3885,0.4429,12.0439,0.0293,0.0309
15,1.1e-02,2.2374,0.4673,10.8492,0.0309,0.0309
16,1.0e-02,2.0925,0.4959,10.4559,0.0293,0.0309
17,9.1e-03,1.9126,0.5356,12.6634,0.0420,0.0420
18,8.0e-03,1.7402,0.5763,12.9899,0.0444,0.0444
19,7.0e-03,1.5557,0.6210,15.9947,0.0341,0.0444
20,6.1e-03,1.3641,0.6718,17.9694,0.0349,0.0444
21,5.2e-03,1.1695,0.7091,15.2321,0.0523,0.0523
22,4.3e-03,0.9505,0.7666,18.5084,0.0452,0.0523
23,3.5e-03,0.7483,0.8242,20.0677,0.0420,0.0523
24,2.7e-03,0.5891,0.8690,16.3650,0.0436,0.0523
25,2.1e-03,0.4583,0.8990,20.6192,0.0476,0.0523
26,1.5e-03,0.3616,0.9251,18.2061,0.0515,0.0523
27,1.1e-03,0.2886,0.9431,18.5774,0.0500,0.0523
28,6.8e-04,0.2623,0.9518,19.9115,0.0531,0.0531
29,4.2e-04,0.2223,0.9602,28.1697,0.0404,0.0531
30,2.5e-04,0.2091,0.9637,15.5755,0.0626,0.0626
