epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,1.0e-03,4.8127,0.0353,4.6465,0.0537,0.0537
2,9.9e-04,4.1891,0.1197,4.2142,0.1098,0.1098
3,9.6e-04,3.7660,0.1853,3.9470,0.1471,0.1471
4,9.1e-04,3.4987,0.2296,3.8438,0.1664,0.1664
5,8.4e-04,3.2980,0.2637,3.6672,0.1945,0.1945
6,7.5e-04,3.1228,0.2960,3.5794,0.2093,0.2093
7,6.6e-04,2.9631,0.3243,3.4945,0.2216,0.2216
8,5.6e-04,2.8333,0.3468,3.4323,0.2310,0.2310
9,4.5e-04,2.7284,0.3656,3.3654,0.2411,0.2411
10,3.5e-04,2.6221,0.3868,3.3139,0.2531,0.2531
11,2.6e-04,2.5292,0.4028,3.2741,0.2594,0.2594
12,1.7e-04,2.4540,0.4193,3.2542,0.2644,0.2644
13,1.0e-04,2.3933,0.4295,3.2485,0.2652,0.2652
14,5.3e-05,2.3504,0.4363,3.2185,0.2701,0.2701
15,2.1e-05,2.3321,0.4408,3.2214,0.2695,0.2701
