epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,1.0e-03,5.0169,0.0165,5.0438,0.0113,0.0113
2,9.9e-04,5.0073,0.0170,5.0805,0.0110,0.0113
3,9.6e-04,5.0064,0.0171,5.0655,0.0091,0.0113
4,9.0e-04,5.0046,0.0170,5.1007,0.0077,0.0113
5,8.3e-04,4.9997,0.0171,5.0671,0.0113,0.0113
6,7.5e-04,4.9970,0.0173,5.0516,0.0091,0.0113
7,6.5e-04,4.9855,0.0178,5.0482,0.0168,0.0168
8,5.5e-04,4.9741,0.0186,5.0318,0.0137,0.0168
9,4.5e-04,4.9269,0.0224,5.0031,0.0238,0.0238
10,3.5e-04,4.8863,0.0278,4.9555,0.0276,0.0276
11,2.5e-04,4.8391,0.0374,4.9319,0.0295,0.0295
12,1.7e-04,4.7937,0.0449,4.9139,0.0335,0.0335
13,9.5e-05,4.7585,0.0510,4.8839,0.0408,0.0408
14,4.3e-05,4.7251,0.0557,4.8493,0.0442,0.0442
15,1.1e-05,4.6913,0.0593,4.8398,0.0467,0.0467
