epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,1.0e-01,,,4.9629,0.0248,0.0248
2,1.0e-01,,,4.8832,0.0368,0.0368
3,1.0e-01,,,4.8899,0.0394,0.0394
4,1.0e-01,,,4.8550,0.0414,0.0414
5,1.0e-01,,,4.8368,0.0444,0.0444
6,1.0e-01,,,4.8136,0.0471,0.0471
7,1.0e-01,,,4.8209,0.0425,0.0471
8,1.0e-01,,,4.8391,0.0467,0.0471
15,1.0e-01,,,4.8257,0.0473,0.0473
16,1.0e-01,,,4.8351,0.0400,0.0473
17,1.0e-01,,,4.8614,0.0395,0.0473
18,1.0e-01,,,4.8089,0.0454,0.0473
19,1.0e-01,,,4.8378,0.0433,0.0473
20,1.0e-01,,,4.8441,0.0433,0.0473
21,1.0e-01,,,4.8031,0.0449,0.0473
22,1.0e-01,,,4.8268,0.0476,0.0476
23,1.0e-01,,,4.8235,0.0409,0.0476
24,1.0e-01,,,4.8577,0.0441,0.0476
25,1.0e-01,,,4.8788,0.0435,0.0476
26,1.0e-01,,,4.8223,0.0429,0.0476
27,1.0e-01,,,4.8819,0.0433,0.0476
28,1.0e-01,,,4.8144,0.0456,0.0476
29,1.0e-01,,,4.8467,0.0450,0.0476
30,1.0e-01,,,4.8473,0.0439,0.0476
31,1.0e-02,,,4.8424,0.0498,0.0498
32,1.0e-02,,,4.8434,0.0488,0.0498
33,1.0e-02,,,4.8870,0.0519,0.0519
34,1.0e-02,,,4.8914,0.0485,0.0519
35,1.0e-02,,,4.9147,0.0502,0.0519
36,1.0e-02,,,4.9116,0.0482,0.0519
37,1.0e-02,,,4.9498,0.0467,0.0519
38,1.0e-02,,,5.0211,0.0452,0.0519
39,1.0e-02,,,4.9972,0.0477,0.0519
40,1.0e-02,,,5.0128,0.0479,0.0519
41,1.0e-03,,,5.0953,0.0481,0.0519
42,1.0e-03,,,5.0944,0.0485,0.0519
43,1.0e-03,,,5.1223,0.0491,0.0519
44,1.0e-03,,,5.1395,0.0468,0.0519
45,1.0e-03,,,5.1831,0.0475,0.0519
46,1.0e-03,,,5.1832,0.0470,0.0519
47,1.0e-03,,,5.2430,0.0467,0.0519
48,1.0e-03,,,5.2385,0.0475,0.0519
49,1.0e-03,,,5.2358,0.0468,0.0519
50,1.0e-03,,,5.2681,0.0462,0.0519
