epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,5.0e-04,4.7849,0.0345,4.7565,0.0414,0.0414
2,4.9e-04,4.3146,0.0942,4.5026,0.0773,0.0773
3,4.8e-04,4.0229,0.1382,4.4075,0.0854,0.0854
4,4.5e-04,3.7777,0.1794,4.3533,0.1000,0.1000
5,4.2e-04,3.5467,0.2188,4.2771,0.1068,0.1068
6,3.8e-04,3.3192,0.2572,4.1539,0.1213,0.1213
7,3.3e-04,3.0770,0.3000,4.0449,0.1402,0.1402
8,2.8e-04,2.8287,0.3430,3.9931,0.1449,0.1449
9,2.2e-04,2.5686,0.3915,3.9884,0.1505,0.1505
10,1.7e-04,2.3021,0.4425,3.9847,0.1651,0.1651
11,1.3e-04,2.0265,0.4975,3.9904,0.1691,0.1691
