epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,1.0e-04,4.9697,0.0186,5.0334,0.0101,0.0101
2,1.0e-04,4.9640,0.0187,5.0326,0.0145,0.0145
3,9.9e-05,4.9628,0.0188,5.0325,0.0145,0.0145
4,9.8e-05,4.9621,0.0191,5.0382,0.0121,0.0145
5,9.6e-05,4.9615,0.0187,5.0330,0.0145,0.0145
6,9.3e-05,4.9611,0.0194,5.0339,0.0145,0.0145
7,9.1e-05,4.9609,0.0187,5.0281,0.0121,0.0145
8,8.7e-05,4.9607,0.0190,5.0312,0.0121,0.0145
9,8.4e-05,4.9604,0.0190,5.0353,0.0145,0.0145
10,8.0e-05,4.9611,0.0194,5.0319,0.0121,0.0145
